CD_Asignado,Costo_Total_Ruta,Distancia_Total_Km,Ruta_Secuencia
Centro de Distribución 2,12.635860788287879,84.2390719219192,Centro de Distribución 2 -> Tienda 20 -> Tienda 32 -> Tienda 25 -> Tienda 24 -> Tienda 29 -> Tienda 70 -> Tienda 86 -> Tienda 4 -> Centro de Distribución 2
Centro de Distribución 3,14.074019053207373,93.82679368804914,Centro de Distribución 3 -> Tienda 8 -> Tienda 88 -> Tienda 81 -> Tienda 63 -> Tienda 75 -> Tienda 80 -> Tienda 77 -> Tienda 60 -> Tienda 31 -> Tienda 89 -> Tienda 44 -> Tienda 22 -> Tienda 46 -> Tienda 82 -> Tienda 3 -> Tienda 56 -> Centro de Distribución 3
Centro de Distribución 4,3.9996682340350227,26.66445489356682,Centro de Distribución 4 -> Tienda 43 -> Tienda 51 -> Tienda 39 -> Tienda 21 -> Tienda 57 -> Tienda 59 -> Centro de Distribución 4
Centro de Distribución 7,1.9571743042569136,13.04782869504609,Centro de Distribución 7 -> Tienda 53 -> Centro de Distribución 7
Centro de Distribución 8,45.74014544704263,304.9343029802842,Centro de Distribución 8 -> Tienda 54 -> Tienda 7 -> Tienda 37 -> Tienda 12 -> Tienda 40 -> Tienda 16 -> Tienda 58 -> Tienda 74 -> Tienda 84 -> Tienda 35 -> Tienda 69 -> Tienda 83 -> Tienda 49 -> Tienda 34 -> Tienda 30 -> Tienda 55 -> Tienda 14 -> Tienda 13 -> Tienda 5 -> Tienda 67 -> Tienda 71 -> Tienda 65 -> Tienda 73 -> Tienda 1 -> Tienda 15 -> Tienda 33 -> Tienda 18 -> Tienda 36 -> Tienda 17 -> Tienda 61 -> Tienda 28 -> Tienda 76 -> Tienda 23 -> Tienda 48 -> Tienda 90 -> Tienda 27 -> Tienda 78 -> Tienda 2 -> Tienda 47 -> Tienda 85 -> Centro de Distribución 8
Centro de Distribución 9,24.11546269228998,160.76975128193317,Centro de Distribución 9 -> Tienda 66 -> Tienda 50 -> Tienda 11 -> Tienda 41 -> Tienda 79 -> Tienda 38 -> Tienda 64 -> Tienda 62 -> Tienda 72 -> Tienda 45 -> Tienda 10 -> Tienda 26 -> Tienda 87 -> Tienda 68 -> Tienda 19 -> Tienda 52 -> Tienda 6 -> Tienda 42 -> Tienda 9 -> Centro de Distribución 9
